,hu_co_commercialplantharvest_seaweedharvest_d,hu_co_intertidalhandpickingdigging_intertidalhandpickdigcom_d,hu_ot_dredging_dredging_d,hu_rf_intertidalhandpickingdigging_intertidalhandpickdigrec_d,hu_rf_scubadivefishing_scubadivefishingrec_d,hu_ih_indigenousharvest_foodsocialceremonial
fed_ghmarineconservationareareservehaidaheritagesite_multi,na,O,X,O,O,na
fed_ghmarineconservationareareservehaidaheritagesite_strict,na,X,X,X,X,O
fed_hecatestraitqueencharlottesoundglassspongereefsmpaadap_CC,na,na,X,na,X,na
fed_hecatestraitqueencharlottesoundglassspongereefsmpaadap_HG,na,na,X,na,X,na
fed_hecatestraitqueencharlottesoundglassspongereefsmpaadap_NC,na,na,X,na,X,na
fed_hecatestraitqueencharlottesoundglassspongereefsmpaadap_NVI,na,na,X,na,X,na
fed_hecatestraitqueencharlottesoundglassspongereefsmpacore_CC,na,na,X,na,X,na
fed_hecatestraitqueencharlottesoundglassspongereefsmpacore_NC,na,na,X,na,X,na
fed_hecatestraitqueencharlottesoundglassspongereefsmpacore_NVI,na,na,X,na,X,na
mpa_psimnwabtc0000001nmcc,na,O,X,O,O,na
mpa_psimnwabtc0000001nmnvi,na,O,X,O,O,na
mpa_psimnwabtc000300m1nmnvi,na,X,X,X,X,O
mpa_psimnwabtcannevalleeer0001nmnvi,na,O,X,O,O,na
mpa_psimnwabtcannevalleeer300m1nmnvi,na,X,X,X,X,O
mpa_psimnwabtcberesfordislander0001nmnvi,na,O,X,O,O,na
mpa_psimnwabtcberesfordislander300m1nmnvi,na,X,X,X,X,na
mpa_psimnwabtccapescottpark000000nvi,na,O,X,O,O,na
mpa_psimnwabtccc,na,O,X,O,O,na
mpa_psimnwabtchg,na,na,X,na,O,na
mpa_psimnwabtcnvi,na,O,X,O,O,na
mpa_psimnwabtcsartineislandser0001nmnvi,na,O,X,O,O,na
mpa_psimnwabtcsartineislandser300m1nmnvi,na,X,X,X,X,O
mpa_psimnwabtocc,na,na,X,na,O,na
mpa_psimnwabtonvi,na,O,X,O,O,na
mpa_psimnwalandzandcozislandsparkbtc0000001nmnvi,na,O,X,O,O,na
pro_allisonharbourmarinepark,na,O,X,O,O,na
pro_altyconservancy,na,O,X,X,O,na
pro_banksniiluutiksmconservancy,na,O,X,X,O,na
pro_bellacoolaestuaryconservancy,na,O,X,X,O,na
pro_bishopbaymonkeybeachconservancy,na,O,X,X,O,na
pro_bishopbaymonkeybeachcorridorconservancy,na,O,X,X,O,na
pro_brimriverhotspringsprotectedarea,na,O,X,X,O,na
pro_brookspeninsulaparkakamuqqiwnpark,na,O,X,O,O,na
pro_broughtonarchipelagomarinepark,na,O,X,O,O,na
pro_byersconroyharveysinnettislandsecologicalreserve,na,X,X,X,O,na
pro_capescottpark,na,O,X,X,O,na
pro_carterbayconservancy,na,O,X,X,O,na
pro_cluxewewildlifemanagementarea,na,O,X,O,O,na
pro_clyakestuaryconservancy,na,O,X,X,O,na
pro_codvillelagoonmarinepark,na,O,X,X,O,na
pro_cormorantchannelmarinepark,na,O,X,O,O,na
pro_costerockspark,na,O,X,X,O,na
pro_daawuuxusdaconservancy,na,O,X,O,O,na
pro_dalakildalariversestuariespark,na,O,X,X,O,na
pro_damaxyaaconservancy,na,O,X,O,O,na
pro_dukeofedinburghpinestormtreeislandsecologicalres,na,X,X,X,O,na
pro_duuguusdconservancy,na,O,X,O,O,na
pro_dzawadiklinakliniestuaryconservancy,na,O,X,X,O,na
pro_eaglebaypark,na,O,X,X,O,na
pro_echobaymarinepark,na,O,X,O,O,na
pro_ecstallspoksuutconservancy,na,O,X,X,O,na
pro_fiordlandconservancy_CC,na,O,X,X,O,na
pro_fochgilttoyeespark,na,O,X,X,O,na
pro_fochgilttoyeesprotectedarea,na,O,X,X,O,na
pro_gitxaalaniiluutiksmkitkatlaconservancy,na,O,X,X,O,na
pro_goatcoveconservancy,na,O,X,X,O,na
pro_godspocketmarinepark,na,X,X,X,O,na
pro_greeninletmarinepark,na,O,X,X,O,na
pro_hakaiconservationstudyarea,na,O,X,X,O,na
pro_hakailuxvbalisconservancy,na,O,X,X,O,na
pro_homathkoestuarypark,na,O,X,X,O,na
pro_huchsduwachsdunuyemjeeskitlopeheritageconservancy_NC,na,O,X,O,O,na
pro_jacksonnarrowsmarinepark,na,O,X,X,O,na
pro_jessefallsprotectedarea,na,O,X,X,O,na
pro_kamdisconservancy,na,O,X,O,O,na
pro_kdistsauskturtlepointconservancy,na,O,X,X,O,na
pro_kennedyislandconservancy,na,O,X,X,O,na
pro_khutzeymateeninletconservancy,na,O,X,X,O,na
pro_khutzeymateeninletwestconservancy,na,O,X,X,O,na
pro_khutzeymateenparkakakhutzeymateenktzimadeengrizzly,na,O,X,X,O,na
pro_kilbellaestuaryconservancy,na,O,X,X,O,na
pro_kimsquitestuaryconservancy,na,O,X,X,O,na
pro_kitsonislandmarinepark,na,X,X,X,O,na
pro_klaskishriverecologicalreserve,na,O,X,X,O,na
pro_klewnuggitinletmarinepark,na,X,X,X,O,na
pro_knabiyaaxlashdownconservancy,na,X,X,O,O,na
pro_ksgaxlstephensislandgroupconservancy,na,O,X,X,O,na
pro_ksixanmaasconservancy,na,O,X,X,O,na
pro_ksixtsatkwstagooconservancy,na,O,X,X,O,na
pro_ktisgaidzmacdonaldbayconservancy,na,O,X,X,O,na
pro_ktsmktaaniunionlakeconservancy,na,O,X,X,O,na
pro_kunxalasconservancy,na,O,X,O,O,na
pro_kuunagwaayconservancy,na,O,X,O,O,na
pro_kwaalconservancy,na,O,X,X,O,na
pro_kwatnaestuaryconservancy,na,O,X,X,O,na
pro_larcomlagoonconservancy,na,O,X,X,O,na
pro_lawnpointpark,na,X,X,X,O,na
pro_laxkagasscampaniaconservancy,na,O,X,X,O,na
pro_laxkulniiluutiksmbonillaconservancy,na,O,X,X,O,na
pro_laxkwaxldundasmelvilleislandsconservancy,na,O,X,X,O,na
pro_laxkwildziidzfinconservancy,na,O,X,X,O,na
pro_loweinletmarinepark,na,O,X,O,O,na
pro_lucyislandsconservancy,na,O,X,X,O,na
pro_mahpahkumahkwunadeserterswalkerconservancy,na,O,X,O,O,na
pro_manzanitacoveconservancy,na,O,X,X,O,na
pro_marbleriverpark,na,O,X,O,O,na
pro_maxtaktsmaaunionpassageconservancy,na,O,X,X,O,na
pro_moncktonniiluutiksmconservancy,na,O,X,X,O,na
pro_mooremckennywhitmoreislandsecologicalreserve,na,O,X,X,O,na
pro_naikoonpark,na,O,X,O,O,na
pro_nangxaldangaasconservancy,na,O,X,O,O,na
pro_negiynekiteestuaryconservancy,na,O,X,O,O,na
pro_octopusislandsmarinepark,na,O,X,X,O,na
pro_olivercovemarinepark,na,O,X,X,O,na
pro_owyacumishriverpark,na,O,X,X,O,na
pro_paleminesterobasinconservancy,na,O,X,X,O,na
pro_penroseislandmarinepark,na,O,X,X,O,na
pro_phillipsestuary?nacinuxwconservancy,na,O,X,X,O,na
pro_quatseestuarywildlifemanagementarea,na,O,X,O,O,na
pro_quatsinopark,na,O,X,O,O,na
pro_qwiquallaaqboatbayconservancy,na,O,X,O,O,na
pro_raftcovepark,na,O,X,X,O,na
pro_rebeccaspitmarinepark,na,O,X,X,O,na
pro_rendezvousislandsouthpark,na,O,X,X,O,na
pro_robsonbightmichaelbiggecologcialreserve,na,O,X,X,O,na
pro_rockbaymarinepark,na,O,X,X,O,na
pro_shearwaterhotspringsconservancy,na,O,X,X,O,na
pro_skeenabankconservancy,na,O,X,X,O,na
pro_smallinletmarinepark,na,O,X,X,O,na
pro_staircreekconservancy,na,O,X,X,O,na
pro_suechannelpark,na,O,X,X,O,na
pro_surgenarrowspark,na,O,X,X,O,na
pro_thulmefallsconservancy,na,O,X,X,O,na
pro_thurstonbaymarinepark,na,O,X,X,O,na
pro_tlallconservancy,na,O,X,O,O,na
pro_towhillecologicalreserve,na,X,X,O,O,na
pro_ugwiweycapecautionblundenbayconservancy,na,O,X,O,O,na
pro_ugwiweycapecautionconservancy,na,O,X,O,O,na
pro_unionpassagemarinepark,na,O,X,O,O,na
pro_vladimirjkrajinaportchanalecologicalreserve,na,X,X,O,O,na
pro_wakemanestuaryconservancy,na,O,X,X,O,na
pro_walesharbourconservancy,na,O,X,X,O,na
pro_wawleyseymourestuaryconservancy,na,O,X,O,O,na
pro_weewaniehotspringspark,na,O,X,X,O,na
pro_winterinletconservancy,na,O,X,X,O,na
pro_xwakwe?naxde?mastaffordestuaryconservancy,na,O,X,X,O,na
pro_yaaguungandlaayconservancy,na,O,X,O,O,na
pro_zumtelabayconservancy,na,O,X,X,O,na
